"","flight_no","aircraft","origin","sch_dep_time","est_arr_time","city","tiempo1"
"217"," CFG2186","B763","Munich Int'l (MUC / EDDM)","Wed 03:15PM CET","Wed 08:50PM EST","Havana",19
"220"," LPE2410","A320","Jorge Chavez Int'l (LIM / SPJC)","Wed 01:15PM -05","Wed 06:51PM EST","Havana",18
"221"," CMP438","E190","Tocumen Int'l (PTY / MPTO)","Wed 03:46PM EST","Wed 06:04PM EST","Havana",15
"223"," AEA51","A332","Barajas Int'l (MAD / LEMD)","Wed 03:45PM CET","Wed 08:50PM EST","Havana",19
"224"," AFR820","B77W","Charles de Gaulle/Roissy (CDG / LFPG)","Wed 02:20PM CET","Wed 07:31PM EST","Havana",47
"225"," AIJ2902","A321","Lic. Benito Juarez Int'l (MEX / MMMX)","Wed 03:35PM CST","Wed 07:16PM EST","Havana",29
"226"," AIJ904","A320","Cancun Int'l (CUN / MMUN)","Wed 03:00PM EST","Wed 06:03PM EST","Havana",28
"228"," CMP765","B738","Tocumen Int'l (PTY / MPTO)","Wed 03:39PM EST","Thu 01:12AM -02","Belo Horizonte",16
"229"," TAI382","E190","El Dorado Int'l (BOG / SKBO)","Wed 04:55PM -05","Wed 06:50PM CST","San Salvador",24
"231"," LRC627","A320","Toronto Pearson Int'l (CYYZ)","Wed 03:20PM EST","Wed 07:08PM CST","San Salvador",21
"233"," TAI399","A320","Newark Liberty Intl (KEWR)","Wed 02:55PM EST","Wed 06:52PM CST","San Salvador",13
"238"," LAN804","B789","Melbourne Tullamarine (MEL / YMML)","Thu 08:20PM AEDT","Thu 06:55PM -03","Santiago",15
"240"," AMX10","B788","Lic. Benito Juarez Int'l (MEX / MMMX)","Thu 10:25AM CST","Thu 09:10PM -03","Santiago",14
"5"," KLM791","B772","Amsterdam Schiphol (AMS / EHAM)","Wed 10:05AM CET","Wed 06:43PM -02","Sau_Paulo",5
"8"," TAP81","A332","Porto / Oporto (OPO / LPPR)","Wed 10:50AM WET","Wed 07:21PM -02","Sau_Paulo",8
"13"," ONE6183","A320","Foz do Iguacu Int'l (Cataratas Int'l) (IGU / SBFI)","Wed 06:00PM -02","Wed 07:35PM -02","Sau_Paulo",4
"14"," GLO1251","B738","Hercilio Luz Int'l (FLN / SBFL)","Wed 06:20PM -02","Wed 07:10PM -02","Sau_Paulo",7
"15"," GLO1921","B738","Tancredo Neves Int'l (CNF / SBCF)","Wed 06:15PM -02","Wed 07:16PM -02","Sau_Paulo",7
"17"," GLO1397","B737","Goiabeiras (VIX / SBVT)","Wed 06:15PM -02","Wed 07:25PM -02","Sau_Paulo",6
"20"," GLO1237","B738","Salgado Filho Int'l (POA / SBPA)","Wed 06:10PM -02","Wed 07:33PM -02","Sau_Paulo",3
"21"," GLO1269","B737","Ministro Victor Konder Int'l (NVT / SBNF)","Wed 06:50PM -02","Wed 07:35PM -02","Sau_Paulo",1
